"","TO-AL","TO-AZ","TO-AR","TO-CA","TO-CO","TO-CT","TO-DE","TO-DC","TO-FL","TO-GA","TO-ID","TO-IL","TO-IN","TO-IA","TO-KS","TO-KY","TO-LA","TO-ME","TO-MD","TO-MA","TO-MI","TO-MN","TO-MS","TO-MO","TO-MT","TO-NE","TO-NV","TO-NH","TO-NJ","TO-NM","TO-NY","TO-NC","TO-ND","TO-OH","TO-OK","TO-OR","TO-PA","TO-RI","TO-SC","TO-SD","TO-TN","TO-TX","TO-UT","TO-VT","TO-VA","TO-WA","TO-WV","TO-WI","TO-WY","TO-AK","TO-HI"
"FROM-ID",0.000367321814461624,0.0307745788557188,0.000307475701771805,0.15456003777579,0.0236349246902301,0.000429482981706011,0.000113111816763373,0.000439600677131091,0.0037006000191608,0.00161076209909729,0,0.00347107568685768,0.000885569107198888,0.000574541650790361,0.000738762619949947,0.000590915617275242,0.000495063666983079,0.000144976740376309,0.00116582963582768,0.00111297177522973,0.00114864222781314,0.00261965769156392,0.000172003736177886,0.00180945044237077,0.0986872549311239,0.00207750966550494,0.0368278490574081,0.000215399303632527,0.000808608002940327,0.00389293325071125,0.0023070877960948,0.00119298307604209,0.000955050013027909,0.00120359047139418,0.000987700940069733,0.0976124025983437,0.00169996543265125,0.000126846192788725,0.000360532252790199,0.00162127486075651,0.00106984282265295,0.00866956856941616,0.216152531265655,0.000106147929731224,0.00166927099378217,0.20337752872015,0.000119926595633376,0.0011135488778249,0.0718748113338053,0.0129568102942736,0.00144566772155011
"FROM-IL",0.00866972677000923,0.0109652484515757,0.0109769230912367,0.0308345716105525,0.0118847739934521,0.00409564760160853,0.000844412055374615,0.00281733838099918,0.037358142737564,0.0174092192439961,0.000807782952694859,0,0.140453782871449,0.0589614932501844,0.0112605378410358,0.0369864052462207,0.00531737321014103,0.000904582792345816,0.0077517320919934,0.00846923261261528,0.0851675887923037,0.0289164601084156,0.00723791888980194,0.0941375968750054,0.00110566079012493,0.00958193613466778,0.00834166971900326,0.00134221565976397,0.00846104114562137,0.00176061053330739,0.0276975970235332,0.0131063484592916,0.0022836010620488,0.0464987334341367,0.00713886097195185,0.00180910612049509,0.0183047714279104,0.00108796547779439,0.00425826739864857,0.00400446544733901,0.0254862297117667,0.0290790076083966,0.003585017160463,0.000792805048384412,0.0129043596351875,0.00529177890697304,0.00502770439500612,0.135160051664199,0.000872373236741223,0.00094043705554784,0.00184889330112103
"FROM-IN",0.010577639726657,0.00378452408364182,0.00636139307217653,0.00954369288406763,0.00433132976957418,0.0023812175263116,0.000738855446100075,0.00126491537643406,0.0252127427701318,0.0163247280222911,0.000282841469759964,0.200678031946864,0,0.0148841170249559,0.00527105452375523,0.103387922453517,0.00306476395203961,0.000516237465807005,0.00749449241889106,0.00577593668609366,0.146963044757083,0.0121229441957982,0.00513581325770906,0.0373347617118339,0.000287131175247579,0.00340526149854393,0.00351133600921528,0.000901134507205056,0.00566637757362395,0.000648499560169092,0.0213336816174372,0.0180793359951015,0.000807770117333247,0.162685761380554,0.00374538956585974,0.000672703373538961,0.0208830071183698,0.000726202515262526,0.00548237768082965,0.0013708449340028,0.0315169833211395,0.0128614284645952,0.00122674191974362,0.00054472908761501,0.0137014417572712,0.0017577710072618,0.00991356562017534,0.0538541014432482,0.000176465970342623,0.000199741991972947,0.000607214252846111
"FROM-IA",0.00301573921547669,0.00757289689047295,0.00862632356300357,0.0159803448416199,0.0150275967551737,0.00110229352947937,0.000262235835288606,0.000850149828363023,0.00784437679747558,0.00527081164700407,0.000336259363680121,0.155451931567416,0.0278542003002101,0,0.0437101794409214,0.00776353261581026,0.00202324834755061,0.000139048454831158,0.00306744857182937,0.00216428455971512,0.0323788050425566,0.196828427947112,0.00230303971222632,0.112016000174286,0.000643632625196088,0.087718773189623,0.00351156210747917,0.000165680706384141,0.00258338880559226,0.001020894428461,0.00986844440436189,0.00370925138139589,0.00644024735475986,0.0167261063472366,0.0117622712183637,0.000676641020561975,0.00679352233505467,0.000154554071503543,0.00105357802332882,0.0356630493994128,0.00720305342531718,0.0217544565216199,0.00303417083218289,9.76819564683455e-05,0.00303569026889427,0.00178550566708581,0.00116887890842505,0.118980998704016,0.00186238615630509,0.000377959672912087,0.000618445466555245
"FROM-KS",0.0040291201615475,0.0247158432045567,0.0310100195793452,0.0447357509289728,0.0781927636052254,0.000601604959636233,0.000187458618856319,0.00068851893032195,0.00813530032748895,0.00722439776961842,0.000464283475420556,0.0344605945779995,0.0111197902704079,0.0484389330642887,0,0.00706427856885364,0.00567646019870596,0.000130836426388445,0.00205689319827634,0.00147030554990367,0.00974804906343689,0.0212241877910629,0.00456045698023487,0.178144397909003,0.000668640713048844,0.0915443497371124,0.00842172925794757,0.000168212362561688,0.00103273532416484,0.0187746767728974,0.00469209627396375,0.00331522959961285,0.00253659024775206,0.00797419121957938,0.139029361140657,0.000676315186330323,0.0036536645583516,0.000125572395901905,0.00112077317007696,0.0139687556011704,0.00849477373141771,0.140545355734244,0.00725233548494035,8.8881784800717e-05,0.00280974369366558,0.00212807827339177,0.000767157951408842,0.0118274890971829,0.00353207560117616,0.00024517232410547,0.000525797602986438
"FROM-KY",0.0308473432987608,0.00228028656197196,0.0114474888163185,0.00738256046400083,0.00270771649913798,0.00296861585088356,0.000981543661496233,0.00145763115373149,0.0313825805259436,0.0457089847370912,0.000243826472116603,0.0684386545243441,0.13327752475944,0.00529706531209782,0.00429711508277174,0,0.00531118357628377,0.000521533389067908,0.0106550285580911,0.00711675585340685,0.0502590504940211,0.00633496180594251,0.0114036061012987,0.0411880670899686,0.000229824355881896,0.00186438715189873,0.00205033399088401,0.00077204765144255,0.00745653315943732,0.000499052332160382,0.0234881906001359,0.0590877489849291,0.000240086927531947,0.149217077900983,0.0038751456228825,0.000515370953950189,0.0239332563394516,0.000752129473181307,0.0159286835941421,0.000448456020965365,0.133456555341201,0.0178978765389459,0.00117841735855469,0.000344515706721542,0.0299538909405143,0.00147139445155355,0.0273524743002013,0.0155089982827044,0.000131773291837981,0.000214488745238485,0.000622165394482907
"FROM-LA",0.0550840601391608,0.00918589196464716,0.0580327914776018,0.0204128886220118,0.00516667671578807,0.00152720414823328,0.000396940853544176,0.0016481181093935,0.0496490700911161,0.0349143285612603,0.000309286075335508,0.0156055976075441,0.00624525041993426,0.00220543984689514,0.00545295643425125,0.00834641072279417,0,0.000458856718619963,0.00523540972183455,0.00317296887713602,0.00540156076890545,0.00304517868404635,0.185851906945632,0.0170935574493936,0.000258807754568942,0.00157013557439781,0.0036889340111783,0.000414302671797153,0.00374632645971916,0.00337239535123509,0.0107540321757613,0.0110455766560997,0.00016321438828227,0.00628270999321481,0.0190937731213882,0.000836632300943455,0.00619600882641159,0.000396842951917422,0.00618081338497749,0.0003034718689447,0.0226182384397876,0.391777279753365,0.00151373472394671,0.000249260653784927,0.00734117163122922,0.00254219297056175,0.000904238540169661,0.00311658107922994,0.000153952154394583,0.000387974721938173,0.000649046885675421
"FROM-ME",0.000708476882021661,0.00213190192949436,0.000291001221103263,0.00752450731560671,0.00236068735231999,0.0543977532892797,0.00360205408813328,0.00284014590656262,0.0220987890905999,0.00489634377496192,0.00021541371087711,0.00572839397146541,0.00240120222962051,0.000318653020322434,0.000296508046119489,0.00185335888708912,0.00105486761760177,0,0.0208336554118331,0.302055665496968,0.00581336724531369,0.00144862922093044,0.000376459650795328,0.00166729307948164,0.000257488608751087,0.000200213648195155,0.00157354775249517,0.122787128245913,0.0494969440278829,0.000350572203452183,0.133728269822006,0.0100252823630852,7.97432063669863e-05,0.0115135900061763,0.000352762100089478,0.000671799197010251,0.049835239985181,0.0306245170199147,0.00218021282158012,8.95782515502725e-05,0.00218619656605953,0.00427631204516554,0.000935378545987924,0.0704265782901094,0.0210920032623386,0.00172376423860171,0.00239514956922129,0.00177525664677166,7.33841914876734e-05,0.0359300055271224,0.000503953418983967
"FROM-MD",0.00450976416774257,0.00469205169738563,0.00170517890022082,0.0166615767589705,0.00534899078638254,0.0141649600143768,0.0178869527447713,0.00554735576283384,0.036915759097789,0.0168797819480546,0.000470026742822143,0.0136315815930672,0.00919041706222927,0.0020015150245268,0.00121134074360527,0.0101403992795806,0.00318656228242961,0.00557185621106752,0,0.0230332883100989,0.0136670623465663,0.00323266771429545,0.00251570980802368,0.00619709882117013,0.000352694814469377,0.000914146378095363,0.00435665735891865,0.005238612347655,0.0960071834757412,0.00141868501839454,0.102494151489121,0.0514800078524755,0.00017679602177387,0.0309919914306632,0.00154103578944396,0.00106875976325379,0.19784619074803,0.00456062348127083,0.00848862053979081,0.000284493020388901,0.00955842088172649,0.0146044645343143,0.00221780857615741,0.00376797424125895,0.201681537214131,0.00357513321866265,0.0326871604513332,0.00459762591239241,0.000149460087274349,0.000346874863061413,0.00123099267219101
"FROM-MA",0.00194804657538427,0.00498648532957411,0.000736057460945889,0.0297967972459115,0.0061618555492257,0.107767328360865,0.00381726370614097,0.00554141376177963,0.0474029563720353,0.0139930373553403,0.000464083051148132,0.0156804084647271,0.00745543712432828,0.00147693644007029,0.000888646587396814,0.00716600214067471,0.00201003727731881,0.082804305911482,0.0243654683236927,0,0.010042826996052,0.00460983926676559,0.000857257738459346,0.00422377687921646,0.000468547510446391,0.000671696788090028,0.00440236170767796,0.0686365367188081,0.0681948253989034,0.000826710548499376,0.223161733684245,0.0200987528324444,0.000177722483936594,0.0154849710265893,0.000881082363702325,0.00157442724284459,0.061885330173488,0.00935157156178193,0.00640408587751018,0.000271755567873248,0.00575132536694388,0.0128039670639292,0.00219645677200929,0.057485288033877,0.036354871687395,0.00464532484600547,0.00717280580293,0.00480165379104407,0.000211583533395894,0.000507838901800794,0.00138050479529312
"FROM-MI",0.00603379836509454,0.0062837327530458,0.00414069604715267,0.0151897954147015,0.0050443587826893,0.00355916081194516,0.00112306511324869,0.00219016285477166,0.0340131123708704,0.0160468565167765,0.000374336101917098,0.118641864571385,0.145089575635903,0.0172532292222853,0.00466111791581938,0.0390934504705829,0.00266457774169389,0.00127595516445248,0.011182505786675,0.00774226413184547,0,0.0219495951982235,0.00388243410315475,0.0186402529316064,0.000506509949204854,0.00469945925626375,0.00615583065280528,0.00152240258094871,0.00907090008148738,0.000744264848429207,0.0362140668739136,0.0175796545421267,0.0018161681034218,0.235240074064575,0.00318185783186732,0.000983473786123396,0.0400875732993221,0.00105901725368656,0.00592243969620536,0.00268304746115946,0.0170603460275909,0.0144477608091201,0.00192966115297415,0.00143104128551784,0.0220535062659106,0.00287672960572736,0.0179921350801292,0.0667630399882712,0.000326952658996833,0.000502322232894168,0.00107386660548798
"FROM-MN",0.00228035415257093,0.011967035254995,0.00502656772415135,0.0283044553993803,0.0162685656147749,0.0021952076290021,0.000462114079690595,0.00195272274126019,0.0240956575056093,0.00886838824189372,0.00133412985875365,0.0646497109641221,0.0192170338765969,0.164824714926171,0.0159837296987356,0.00780451412707304,0.00235848960347761,0.000507146305157203,0.00419963171975699,0.00565932773535403,0.0368129591038781,0,0.00227111091169268,0.0337941990081888,0.00542331149913228,0.0323777536734527,0.00780047518979647,0.000540571022727426,0.00413319106514953,0.00151202422820728,0.0152034462274234,0.00606458482814862,0.0664853131567797,0.0151142267996718,0.00676150629370358,0.00184912530311504,0.0089190961986422,0.0003648684345783,0.0018001738098766,0.080490167857164,0.00655788544961316,0.0231862118284078,0.00376310410800899,0.000360045359313056,0.00676149749885654,0.00767800967842631,0.00149590066083731,0.220853777250699,0.0031213190327907,0.00834706188757728,0.00219758547561476
"FROM-MS",0.169419640159995,0.00653235433651943,0.0724647145259312,0.0101957484291982,0.00178388546012688,0.000818058954551409,0.000314060052674093,0.00103970777446935,0.0611658078512442,0.0621716369465934,0.000109415621114027,0.0224089581797611,0.0112917543811457,0.00270839821918625,0.0047615123718117,0.0193395283700226,0.203881922355778,0.000189014711838084,0.00452781842324254,0.00154207376877762,0.00841546681675081,0.00316393166338444,0,0.0308001961745228,0.000105310476562626,0.00141627447896692,0.00110326002822211,0.000177167926995154,0.00212076384968863,0.000892598500137072,0.00728862343293982,0.0179522229218696,7.31381635446301e-05,0.0102794608740914,0.0122394240207791,0.000314042319424238,0.00542231148265749,0.000154340962575438,0.00991060701480741,0.000157399781053993,0.0901312056158353,0.126253164562685,0.000533257502164518,7.82787497227031e-05,0.0068183722088471,0.00102135380727851,0.00125516270714274,0.00480344914941687,4.20157143840438e-05,0.000159105152805942,0.000252083046762002
"FROM-MO",0.0139383563916659,0.0134126140621712,0.0724257815135616,0.0244058616684096,0.0161868158823874,0.00171333641618614,0.000561617815646594,0.00172854626308925,0.0258108783032718,0.0174050865013863,0.000654722559634489,0.161190821767866,0.0428907661614829,0.0692793119612448,0.0996129476601055,0.0368154270508484,0.00984186058672652,0.000408761254964559,0.00585279860761953,0.00380001645823118,0.021639464373935,0.0248271924310183,0.0162632186351597,0,0.000637389172859978,0.0350827435857271,0.00580441148326992,0.000582062240901093,0.0032158945966663,0.00388784469694624,0.0120428578033288,0.0100696883069451,0.00169520675658641,0.0206587971782006,0.053060789523534,0.00127084854225639,0.00980889809233388,0.000444272057136579,0.00378877581309191,0.00609081986553122,0.0411579582402099,0.0657006324062428,0.00340019780915163,0.000310378887485398,0.00783145297986125,0.003831513116322,0.0027860237776546,0.0232621329746545,0.00109548366768353,0.00047672151313598,0.00134000058567006
"FROM-MT",0.00050008514169292,0.0205742211470713,0.000336415713678842,0.123114701173094,0.042759441323337,0.000838028352917741,0.000132810175384787,0.000713170822352957,0.00512592794229002,0.00268645613015417,0.160911739221989,0.00772023330331692,0.00158908610976079,0.00182030243971249,0.00173437434270477,0.00091322422377445,0.000713672705498244,0.000286910352993057,0.00146116133102564,0.00193934439475478,0.00260925531430045,0.0177141303660622,0.000253175704337185,0.00302270176470662,0,0.00593749447568092,0.0206009344882452,0.000280647008734907,0.00136194258142634,0.00300003473425538,0.00360344451485417,0.0017632013078304,0.0435901501094818,0.00223864406616442,0.00161956167839101,0.0361390813693359,0.00248879077879079,0.000165797875117902,0.000556873234655326,0.0288680838042875,0.00159042310716874,0.0100683778172593,0.0555493749382704,0.000208493219883946,0.00240577399730283,0.159563937877528,0.000150621092486379,0.0040516062465126,0.150182262757495,0.0633238738775238,0.00122000354440668
"FROM-NE",0.00175876377082632,0.0207364569280624,0.00804380122058343,0.0517364928243211,0.133596577130439,0.000682484622602889,0.000183755715841246,0.00130664763975947,0.00884532852634533,0.00396281123648601,0.00178633104708316,0.0368317267523732,0.00932369810613753,0.1282292380421,0.12196467077499,0.00392954221680056,0.00207902676969866,0.000340812243012957,0.00199630504343106,0.00169259955664384,0.0131089784500648,0.0566976757032046,0.00170341857928205,0.0838055994011593,0.0035815192079171,0,0.0138527659409982,0.000260204772753398,0.00097079574605808,0.00738887799778502,0.00498287713014698,0.00250645722207608,0.00857050546041158,0.00763965866173128,0.0226650626823124,0.0010495706123951,0.00368481582697696,0.000161524411732839,0.000772700600974932,0.0873125895202915,0.00474358401354139,0.0632315081004967,0.0156587205016607,0.000125756932920873,0.00310895232144383,0.0032834655348733,0.00057018979697884,0.0202915843283098,0.0275277185558089,0.000873870420194444,0.00084198139796078
"FROM-NV",0.0015216656895179,0.128379168657513,0.00151475906629242,0.413369834343751,0.0256804102802779,0.00307204756288919,0.000436037162701618,0.0012559058322047,0.0181183448792269,0.00785050199191831,0.0196595404754134,0.0193824294193455,0.00568445254279256,0.00290270245409351,0.00666197936081311,0.00255133743251852,0.00302078598231374,0.000610344722905887,0.00593745115147648,0.00566529439508072,0.0107979936886171,0.00820676295129727,0.000759730198493543,0.00821184463017651,0.00694763967664661,0.00719158724080733,0,0.00115181803802559,0.0073720715803774,0.0100774201789178,0.0180883577366695,0.00608239868447271,0.00188752730038508,0.00974079130902775,0.00696292289540173,0.0179331529900312,0.0102092537525204,0.000863583441172151,0.00138886171241911,0.00322912909937792,0.00399689560598349,0.0450892947578527,0.0850694995695201,0.000345043757376851,0.00655865416697636,0.0283654967623223,0.000441041799463531,0.00565595519798487,0.00566168158046006,0.00202996380003126,0.00640863249414562
"FROM-NH",0.00091294858650947,0.00378664776586403,0.000398607488647947,0.0106881493343428,0.00265120382312956,0.0894757261652402,0.00306285801576619,0.00245690753780306,0.0276730788193011,0.00366441334527533,0.000315368486662827,0.00827362500039609,0.00402488019242903,0.000368285136160531,0.000352112699851848,0.00263325632957381,0.000905151324346011,0.120378494433983,0.0191516877633722,0.235792161076103,0.0068312174152267,0.00148398514956389,0.000341979621666492,0.00224587246295275,0.000242547794557942,0.000418106263818519,0.00305881089083267,0,0.0442431970287785,0.000813670695420613,0.163386905371962,0.0113627471063165,7.24753168068356e-05,0.0102608677471009,0.000645350406030185,0.000713343968432169,0.0437830890835639,0.0516923784335628,0.00284698093428625,7.96794069247785e-05,0.00281818686201714,0.00582810946584225,0.00133307652635323,0.0818039200537129,0.0187318073911248,0.00192778141926969,0.00359744695024548,0.00177842391043693,8.32708254334502e-05,0.000151915890684716,0.000457292282317371
